"","Ingredient","Strength","Dosage","AMPs","Full","Paid","PPMG","Type","Pure"
"1","ACEBUTOLOL HYDROCHLORIDE","200","CAPSULE",0.134564,0.235487,0.100923,0.000504615,"beta blocker","N"
"2","ATENOLOL","100","TABLET",0.079799,0.139648,0.059849,0.00059849,"beta blocker","Y"
"3","CAPTOPRIL","100","TABLET",0.58025,1.77705,1.1968,0.011968,"ACE inhibitor","Y"
"4","HYDROCHLOROTHIAZIDE","25","TABLET",0.003227,0.0099,0.006673,0.00026692,"diuretic","Y"
"5","LISINOPRIL","40","TABLET",0.031287,0.054752,0.023465,0.000586625,"ACE inhibitor","Y"
"6","DILTIAZEM HYDROCHLORIDE","360","CAPSULE, EXTENDED RELEASE",0.333229,0.61618,0.282951,0.000785975,"CCB","N"
"7","BENAZEPRIL HYDROCHLORIDE","40","TABLET",0.02958,0.05959,0.03001,0.00075025,"ACE inhibitor","N"
"8","AMLODIPINE BESYLATE","10","TABLET",0.019519,0.034158,0.014639,0.0014639,"CCB","N"
"9","LOSARTAN POTASSIUM","100","TABLET",0.03803,0.066553,0.028523,0.00028523,"ARB","N"
"10","CANDESARTAN CILEXETIL","32","TABLET",1.190418,2.083232,0.892814,0.0279004375,"ARB","N"
